Timestamp,Video ID,Comment,Comment ID
2025-03-10 00:09:17,ESWBDhJH5cs,버스만 타네,UgyZydipOydPhxU3PeV4AaABAg
2025-03-10 00:09:18,ESWBDhJH5cs,응~ 룩앳미~,Ugx7Mw6IeYNRWmDyD6R4AaABAg
2025-03-10 00:09:18,ESWBDhJH5cs,호감형 쥐환,UgxYYM0TVRL6ORaEeH54AaABAg
2025-03-10 00:09:18,ESWBDhJH5cs,마이크가 좀 작은거같냐 음질은 훨씬 깔끔하긴한데,Ugygi6RqD4MvGN-Udpx4AaABAg
2025-03-10 00:09:18,ESWBDhJH5cs,욕하면 제재먹는거 아직 적용 안됨?,UgxfTuPyLLAmdDqLDcd4AaABAg
2025-03-10 00:09:19,ESWBDhJH5cs,파이팅해봐요! 만 쳐도 욕설정진데 그냥 여러명이 신고하면 정지여 ㅋㅋ,UgwInRA40mzWpRPvLNd4AaABAg
2025-03-10 00:09:19,ESWBDhJH5cs,영상 자주 올리노 👍,UgylOjCMRHj8hbpVFml4AaABAg
2025-03-10 00:09:19,ESWBDhJH5cs,루굼마,UgwelGfw04aqk-048Rl4AaABAg
2025-03-10 00:09:20,ESWBDhJH5cs,확실히 전 자취방 배경이 훨 낫긴하다..익숙해서 그런가 안정감있고 아늑했었는데😢,UgwGNkQzpPiH7R0pT-d4AaABAg
2025-03-10 00:09:20,ESWBDhJH5cs,노잼,UgwVmQ_mykvkN8EqoDF4AaABAg
2025-03-10 00:09:20,ESWBDhJH5cs,마이크 왜케 더빙같냐 ㅋㅋㅋㅋㅋㅋ,UgzA81TdraISBxBzkPV4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,안경 ㄹㅈㄷ네,UgxuFXTeaGXQbCuj0Y94AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,바루스 진 가지무침 그만!!,Ugy-SNeM0sKE_y0KKBB4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,물쥐님 어느새 30살도 훌쩍 넘으셨는데 몇살때까지 욕 남발하면서 방송하실꺼에요?,Ugz326YJEcVPSZA9D194AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,루굼마 &lt; 정지 먹은사람,UgzRzUJfVd9KSgQrcrJ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,캠도 깨끗해지고 집도 바뀌고 안경도 저러니까 얼굴로 방송하는 거 같이서 롤에 집중이 안 됨<br>초심 잃었다 물쥐;;,Ugzai2Y-UlTgE_wZSEJ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,아무리 웃겼어도 유튜브 제목을 루굼마 보단 호감형 리신으로 바꾸는게 나을듯ㅋㅋ,Ugy5tv78saFNR2X6ooV4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,안경 족그튼걸로도 바꿨다,UgxzAUGly8JtwUUYc4N4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,루굼마 ㅋㅋㅋㅋ,UgyZn6J5It_6SZv-PkN4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,바루스 맛없네 플레이랑 템트리가 아쉬워,Ugw0QS-hCkQmsIOMvjZ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,얘는 최소 주방 잘쳐줘야 변소임,UgyoyXB2SGEksgciZDF4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,루굼마 ㅋㅋㅋㅋㅋㅋㅋㅇㅈㄹ,UgxAP0hkngpwFXF-WkJ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,이 색기 뭐가 어색하냐,UgwbuisFdERK2m8EtNZ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,"<a href=""https://www.youtube.com/watch?v=ESWBDhJH5cs&amp;t=1002"">16:42</a>",UgwMrVDaAjpNV5TcCz94AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,아니 물쥐님 쌍욕이 너무 많아 ㅋㅋ 행복 실력 롤좀 보여줘,UgzTGauC2-UEE9T_mjJ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,"<a href=""https://www.youtube.com/watch?v=ESWBDhJH5cs&amp;t=766"">12:46</a> 요네가 블라디 이기는 상성임? 몰라서 물어봄",UgxNqkMGbE9lA7n_vQN4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,굳,UgwSDwGL65qO7K7Zezd4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,괴물쥐 루굼마 요리잘함 ㅋㅋ,UgyLd7c9P9ILmF9oEnF4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/hf90Xv-jHeOR8gSxxrToBA""></a>",UgxIy7nIwoKKBM75E2R4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,괴물쥐님 바루스를 많이 하시는 거 보니깐 바루스가 사기인가 봐요,Ugz1m4QuFY_p9VtdqiZ4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,잼네,Ugy5dujbDc83w88HKGh4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,지환님 루굼마,Ugz3G41HdUS_014D6m94AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,이사 기념 물쥐의 삶 3탄 가자,Ugzh4-nIOGuAPKdoE7p4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,괴물쥐 욕을 너무 많이하네 인제 못보겟다;,Ugwxoqlk8IMXZRXoW6J4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,요새 롤 올라와서 넘 좋당 ㅎ,UgxI5iYrnwJwzpBVq4B4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,어떻게든 부모님의 안부를 묻겠다는 한국인의 의지...<br>솔직히 어떻게 참음.,UgyhiDuuQJ6-cKN2L7d4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,물쥐님 그래도 요즘 그녀석에서 풀려나서 롤영상올라오는거 보기좋습니다 괴물쥐화이팅,UgysVUhsNW5bfU2XgWR4AaABAg
2025-03-10 00:16:01,ESWBDhJH5cs,오늘 반찬 왤케 양이 적나요,Ugz3SZSHwKmhEWYu5v54AaABAg
